City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,wynyard,-41.0,145.7167,12.18,91,100,4.45,AU,1725482909
164,tsiombe,-25.3,45.4833,19.81,86,15,5.94,MG,1725482910
165,lionville,40.0537,-75.6599,25.72,41,0,3.09,US,1725482911
166,battle ground,45.7809,-122.5334,30.57,41,6,2.16,US,1725482913
167,anar darah,32.7587,61.654,22.11,16,0,4.45,AF,1725482914
168,vadso,70.0744,29.7487,16.09,77,75,6.17,NO,1725482915
169,puloypuloy,6.6352,124.096,25.76,83,100,1.71,PH,1725482917
170,codrington,-38.2667,141.9667,15.14,46,100,7.0,AU,1725482918
171,khandyga,62.6667,135.6,7.94,97,100,1.69,RU,1725482919
172,nova sintra,14.8667,-24.7167,26.99,86,95,3.78,CV,1725482920
173,mount pearl,47.5166,-52.7813,18.51,60,20,5.66,CA,1725482922
174,posse,-14.0931,-46.3694,29.8,14,0,3.02,BR,1725482923
175,st. john's,47.5649,-52.7093,18.97,58,20,5.66,CA,1725482924
176,alice springs,-23.7,133.8833,11.75,40,5,0.0,AU,1725482926
177,chibuto,-24.6867,33.5306,17.6,69,0,3.78,MZ,1725482927
178,nar'yan-mar,67.6713,53.087,9.77,94,29,4.06,RU,1725482928
179,tangalle,6.024,80.7911,26.49,87,100,5.37,LK,1725482930
180,haiku-pauwela,20.9219,-156.3051,28.45,68,40,7.72,US,1725482931
181,zhalantun,48.0,122.7167,11.69,61,100,1.82,CN,1725482932
182,tura,25.5198,90.2201,23.38,97,100,1.62,IN,1725482934
183,pisco,-13.7,-76.2167,18.34,72,0,4.63,PE,1725482935
184,ogoja,6.6547,8.7976,24.34,91,99,2.35,NG,1725482936
185,yebaishou,41.3975,119.6408,17.11,76,100,3.68,CN,1725482937
186,illizi,26.4833,8.4667,30.01,40,100,6.74,DZ,1725482939
187,praia,14.9215,-23.5087,28.3,78,75,3.6,CV,1725482940
188,iskateley,67.6803,53.1512,9.72,94,30,4.08,RU,1725482941
189,cururupu,-1.8283,-44.8683,25.54,79,84,2.49,BR,1725482943
190,isafjordur,66.0755,-23.124,8.97,95,100,3.74,IS,1725482944
191,korhogo,9.45,-5.6333,22.16,97,90,2.34,CI,1725482945
192,la ronge,55.1001,-105.2842,16.12,63,100,7.2,CA,1725482946
193,robore,-18.3333,-59.75,33.05,43,0,0.0,BO,1725482948
194,enewetak,11.3474,162.3373,29.03,74,31,7.3,MH,1725482949
195,kodiak,57.79,-152.4072,11.73,100,100,8.75,US,1725482931
196,tofol,5.3248,163.0078,27.75,76,49,3.73,FM,1725482952
197,gardnerville ranchos,38.8882,-119.7413,30.69,16,0,5.81,US,1725482953
198,uberlandia,-18.9186,-48.2772,31.56,11,0,3.6,BR,1725482954
199,porto belo,-27.1578,-48.5531,19.98,90,77,2.94,BR,1725482956
200,'ali al gharbi,32.4633,46.6864,34.89,17,0,10.03,IQ,1725482957
201,molde,62.7375,7.1591,14.91,100,75,1.03,NO,1725482958
202,hamilton,39.1834,-84.5333,31.62,43,0,3.6,US,1725482960
203,qamdo,31.1667,97.2333,6.11,91,88,1.06,CN,1725482961
204,zemio,5.0314,25.1361,20.69,98,76,1.23,CF,1725482962
205,riosucio,5.4216,-75.7032,24.13,70,57,1.49,CO,1725482963
206,phongsali,21.6833,102.1058,17.97,99,50,0.54,LA,1725482965
207,castillos,-34.1667,-53.8333,11.2,79,100,0.63,UY,1725482966
208,aasiaat,68.7098,-52.8699,3.79,96,100,1.02,GL,1725482967
209,saynshand,44.8824,110.1163,13.64,45,0,2.94,MN,1725482969
210,neiafu,-18.65,-173.9833,24.38,69,75,3.6,TO,1725482970
211,palopo,-2.9996,120.1921,24.1,89,89,0.72,ID,1725482971
212,atafu village,-8.5421,-172.5159,27.55,80,100,7.62,TK,1725482973
213,pokrovsk,48.282,37.1758,22.65,17,60,6.45,UA,1725482974
214,sadjoavato,-12.6334,49.349,20.53,78,1,3.6,MG,1725482975
215,bocas del toro,9.3333,-82.25,28.97,72,94,3.21,PA,1725482977
216,fale old settlement,-9.3852,-171.2468,27.34,81,68,7.47,TK,1725482978
217,mil'kovo,55.6078,37.7956,15.19,55,1,3.74,RU,1725482980
218,springbok,-29.6643,17.8865,8.89,82,0,2.46,ZA,1725482981
219,novodvinsk,64.4165,40.8122,10.86,91,2,2.03,RU,1725482875
220,khanty-mansiysk,61.0042,69.0019,8.06,87,40,1.0,RU,1725482984
221,nabire,-3.3667,135.4833,24.21,91,99,0.97,ID,1725482986
222,san pedro pochutla,15.7333,-96.4667,33.73,59,28,3.0,MX,1725482988
223,iquique,-20.2208,-70.1431,16.95,78,34,3.39,CL,1725482989
224,kokopo,-4.352,152.2633,24.62,86,100,3.09,PG,1725482991
225,sao mateus do maranhao,-4.0417,-44.475,32.76,29,100,1.49,BR,1725482992
226,puerto ayora,-0.7393,-90.3518,21.35,79,79,4.67,EC,1725482994
227,marsh harbour,26.5412,-77.0636,29.69,75,3,5.33,BS,1725482995
228,mandali,33.7499,45.5541,31.85,22,0,4.41,IQ,1725482996
229,puerto colombia,10.9878,-74.9547,30.05,80,35,3.78,CO,1725482998
230,xinzhou,38.4092,112.7333,17.61,81,81,2.71,CN,1725482999
231,barra de santo antonio,-9.4047,-35.5072,24.3,69,88,4.25,BR,1725483000
232,piti village,13.4626,144.6933,27.03,90,20,0.0,GU,1725483001
233,hluti,-27.2167,31.6167,17.23,46,0,2.03,SZ,1725483003
234,hithadhoo,-0.6,73.0833,27.67,78,100,3.63,MV,1725483004
235,arkhangel'sk,64.5401,40.5433,11.06,100,20,2.0,RU,1725482905
236,invercargill,-46.4,168.35,8.9,83,100,1.79,NZ,1725483007
237,russkaya polyana,49.417,31.9201,19.48,33,100,1.62,UA,1725483009
238,colac,-38.3333,143.5833,13.96,46,97,3.15,AU,1725483010
239,penon blanco,24.7897,-104.0369,23.05,70,99,3.92,MX,1725483012
240,gorontalo,0.5412,123.0595,23.05,96,28,0.89,ID,1725483013
241,saldanha,-33.0117,17.9442,13.03,77,100,5.9,ZA,1725483015
242,emkhomazi,-30.2067,30.7978,20.08,88,24,7.2,ZA,1725483016
243,papao,-17.75,-149.55,26.82,73,80,9.44,PF,1725483017
